"","Countrycode","Country.or.Area","Subgroup","Source","Year","Value","Region"
"55","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",2004,526,"Latin America & Caribbean"
"56","AIA","Anguilla","Male","UNESCO_UIS Database_Sep2007",2005,507,"Latin America & Caribbean"
"57","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2002,202254,"Europe & Central Asia"
"58","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2004,190363,"Europe & Central Asia"
"59","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2005,190363,"Europe & Central Asia"
"60","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2003,191295,"Europe & Central Asia"
"61","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2001,193321,"Europe & Central Asia"
"62","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2000,177264,"Europe & Central Asia"
"63","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",1999,187457,"Europe & Central Asia"
"64","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2000,186425,"Europe & Central Asia"
"65","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",1999,176045,"Europe & Central Asia"
"66","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2004,206693,"Europe & Central Asia"
"67","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2005,206693,"Europe & Central Asia"
"68","ALB","Albania","Male","UNESCO_UIS Database_Sep2007",2003,204844,"Europe & Central Asia"
"69","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2002,180525,"Europe & Central Asia"
"70","ALB","Albania","Female","UNESCO_UIS Database_Sep2007",2001,183877,"Europe & Central Asia"
"71","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",1999,1558,"Europe & Central Asia"
"72","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2000,1558,"Europe & Central Asia"
"73","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2000,1574,"Europe & Central Asia"
"74","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2001,1574,"Europe & Central Asia"
"75","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2002,1574,"Europe & Central Asia"
"76","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2003,1604,"Europe & Central Asia"
"77","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2004,1622,"Europe & Central Asia"
"78","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",2005,1879,"Europe & Central Asia"
"79","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2002,1558,"Europe & Central Asia"
"80","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2001,1558,"Europe & Central Asia"
"81","AND","Andorra","Female","UNESCO_UIS Database_Sep2007",1999,1574,"Europe & Central Asia"
"82","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2004,1628,"Europe & Central Asia"
"83","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2003,1590,"Europe & Central Asia"
"84","AND","Andorra","Male","UNESCO_UIS Database_Sep2007",2005,1858,"Europe & Central Asia"
"85","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2001,7703,"Europe & Central Asia"
"86","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2002,7880,"Europe & Central Asia"
"87","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2003,7960,"Europe & Central Asia"
"88","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2004,7960,"Europe & Central Asia"
"89","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2005,7960,"Europe & Central Asia"
"90","ANT","Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",1999,7149,"Europe & Central Asia"
"91","ANT","Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",2000,6863,"Europe & Central Asia"
"92","ANT","Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",2001,6949,"Europe & Central Asia"
"93","ANT","Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",2002,7213,"Europe & Central Asia"
"94","ANT","Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",2003,7308,"Europe & Central Asia"
"95","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",1999,8277,"Europe & Central Asia"
"96","ANT","Netherlands Antilles","Female","UNESCO_UIS Database_Sep2007",2000,7555,"Europe & Central Asia"
"97","ANT","Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",2004,7308,"Europe & Central Asia"
"98","ANT","Netherlands Antilles","Male","UNESCO_UIS Database_Sep2007",2005,7308,"Europe & Central Asia"
"99","ARE","United Arab Emirates","Female","UNESCO_UIS Database_Sep2007",1999,100991,"Middle East & North Africa"
"100","ARE","United Arab Emirates","Female","UNESCO_UIS Database_Sep2007",2000,105000,"Middle East & North Africa"
"101","ARE","United Arab Emirates","Female","UNESCO_UIS Database_Sep2007",2001,109163,"Middle East & North Africa"
"102","ARE","United Arab Emirates","Female","UNESCO_UIS Database_Sep2007",2002,112886,"Middle East & North Africa"
"103","ARE","United Arab Emirates","Female","UNESCO_UIS Database_Sep2007",2003,135018,"Middle East & North Africa"
"104","ARE","United Arab Emirates","Female","UNESCO_UIS Database_Sep2007",2004,137119,"Middle East & North Africa"
"105","ARE","United Arab Emirates","Female","UNESCO_UIS Database_Sep2007",2005,139376,"Middle East & North Africa"
"106","ARE","United Arab Emirates","Male","UNESCO_UIS Database_Sep2007",1999,100531,"Middle East & North Africa"
"107","ARE","United Arab Emirates","Male","UNESCO_UIS Database_Sep2007",2000,105002,"Middle East & North Africa"
"108","ARE","United Arab Emirates","Male","UNESCO_UIS Database_Sep2007",2001,110971,"Middle East & North Africa"
"109","ARE","United Arab Emirates","Male","UNESCO_UIS Database_Sep2007",2002,113521,"Middle East & North Africa"
"110","ARE","United Arab Emirates","Male","UNESCO_UIS Database_Sep2007",2003,138473,"Middle East & North Africa"
"111","ARE","United Arab Emirates","Male","UNESCO_UIS Database_Sep2007",2004,142377,"Middle East & North Africa"
"112","ARE","United Arab Emirates","Male","UNESCO_UIS Database_Sep2007",2005,145602,"Middle East & North Africa"
"113","ARG","Argentina","Female","UNESCO_UIS Database_Sep2007",2001,2007901,"Latin America & Caribbean"
"114","ARG","Argentina","Female","UNESCO_UIS Database_Sep2007",2003,1782804,"Latin America & Caribbean"
"115","ARG","Argentina","Female","UNESCO_UIS Database_Sep2007",1999,1896924,"Latin America & Caribbean"
"116","ARG","Argentina","Female","UNESCO_UIS Database_Sep2007",2000,1950550,"Latin America & Caribbean"
"117","ARG","Argentina","Male","UNESCO_UIS Database_Sep2007",2003,1716377,"Latin America & Caribbean"
"118","ARG","Argentina","Female","UNESCO_UIS Database_Sep2007",2002,2015520,"Latin America & Caribbean"
"119","ARG","Argentina","Male","UNESCO_UIS Database_Sep2007",2005,1727390,"Latin America & Caribbean"
"120","ARG","Argentina","Female","UNESCO_UIS Database_Sep2007",2005,1788975,"Latin America & Caribbean"
"121","ARG","Argentina","Male","UNESCO_UIS Database_Sep2007",1999,1825525,"Latin America & Caribbean"
"122","ARG","Argentina","Female","UNESCO_UIS Database_Sep2007",2004,1788975,"Latin America & Caribbean"
"123","ARG","Argentina","Male","UNESCO_UIS Database_Sep2007",2004,1727390,"Latin America & Caribbean"
"124","ARG","Argentina","Male","UNESCO_UIS Database_Sep2007",2001,1945776,"Latin America & Caribbean"
"125","ARG","Argentina","Male","UNESCO_UIS Database_Sep2007",2000,1881708,"Latin America & Caribbean"
"126","ARG","Argentina","Male","UNESCO_UIS Database_Sep2007",2002,1960693,"Latin America & Caribbean"
"127","ARM","Armenia","Female","UNESCO_UIS Database_Sep2007",2005,181263,"Europe & Central Asia"
