"Country.or.Area","Subgroup","Source","1999","2000","2001","2002","2003","2004","2005"
"Palestinian Territory, Occupied","Male","UNESCO_UIS Database_Sep2007",224166,238133,252191,270909,290310,313928,340408
"Panama","Female","UNESCO_UIS Database_Sep2007",116808,118357,123883,127293,128197,128968,130067
"Panama","Male","UNESCO_UIS Database_Sep2007",113226,115796,120214,123935,124815,124932,126157
"Papua New Guinea","Female","UNESCO_UIS Database_Sep2007",57892,63812,68663,75305,78030,78030,78030
"Papua New Guinea","Male","UNESCO_UIS Database_Sep2007",85609,92332,101608,109346,112291,112291,112291
"Paraguay","Female","UNESCO_UIS Database_Sep2007",213386,229926,247891,258384,253232,261384,261384
"Paraguay","Male","UNESCO_UIS Database_Sep2007",211828,229334,250044,261546,257649,264617,264617
"Peru","Female","UNESCO_UIS Database_Sep2007",1087367,1127994,1181065,1206464,1286686,1320825,1335855
"Peru","Male","UNESCO_UIS Database_Sep2007",1190446,1246184,1303710,1333218,1318561,1341055,1355456
"Philippines","Female","UNESCO_UIS Database_Sep2007",2624112,2764728,2764728,2992639,3124375,3252954,3285859
"Philippines","Male","UNESCO_UIS Database_Sep2007",2493347,2621706,2621706,2824060,2944688,3055838,3066623
"Poland","Female","UNESCO_UIS Database_Sep2007",1939075,1931965,1918360,1900055,1863163,1709299,1675314
"Poland","Male","UNESCO_UIS Database_Sep2007",2044972,2056036,2055602,2049938,2032004,1770755,1769589
"Portugal","Female","UNESCO_UIS Database_Sep2007",431527,420187,408976,391053,391053,341697,343002
"Portugal","Male","UNESCO_UIS Database_Sep2007",415989,411006,404196,375119,375119,323516,326527
"Qatar","Female","UNESCO_UIS Database_Sep2007",22414,23284,23509,24380,25659,26359,27513
"Qatar","Male","UNESCO_UIS Database_Sep2007",21989,24129,23422,24662,26229,27594,28192
"Republic of Moldova","Female","UNESCO_UIS Database_Sep2007",205666,206309,206130,206456,205429,200274,190823
"Republic of Moldova","Male","UNESCO_UIS Database_Sep2007",209653,207601,207288,207460,205161,199538,191754
"Romania","Female","UNESCO_UIS Database_Sep2007",1094456,1098890,1109632,1113719,1095530,1061887,1028780
"Romania","Male","UNESCO_UIS Database_Sep2007",1123569,1126801,1139170,1141130,1122594,1092847,1060866
"Russian Federation","Female","UNESCO_UIS Database_Sep2007",7517979,7517979,7517979,7517979,7103649,6615937,6048827
"Russian Federation","Male","UNESCO_UIS Database_Sep2007",7822432,7822432,7822432,7822432,7418169,6942967,6384328
"Rwanda","Female","UNESCO_UIS Database_Sep2007",53481,63654,81137,89820,89820,97011,97079
"Rwanda","Male","UNESCO_UIS Database_Sep2007",51811,65966,82439,99333,99333,106540,106743
"Saint Kitts and Nevis","Female","UNESCO_UIS Database_Sep2007",1895,1895,1896,2159,2156,2028,1997
"Saint Kitts and Nevis","Male","UNESCO_UIS Database_Sep2007",1813,1813,2035,2081,1942,1875,1942
"Saint Lucia","Female","UNESCO_UIS Database_Sep2007",6691,7172,7194,7255,7497,7471,7479
"Saint Lucia","Male","UNESCO_UIS Database_Sep2007",5156,5358,5544,5488,6613,6738,6307
"Samoa","Female","UNESCO_UIS Database_Sep2007",10767,10920,11184,11530,11874,12015,12280
"Samoa","Male","UNESCO_UIS Database_Sep2007",10981,10761,11001,11411,11553,11749,11962
"San Marino","Female","UNESCO_UIS Database_Sep2007",487,487,487,487,487,487,487
"San Marino","Male","UNESCO_UIS Database_Sep2007",501,501,501,501,501,501,501
"Sao Tome and Principe","Female","UNESCO_UIS Database_Sep2007",3345,3345,3345,3345,3611,3748,4137
"Sao Tome and Principe","Male","UNESCO_UIS Database_Sep2007",4022,4022,4022,4022,3142,3675,3954
"Saudi Arabia","Female","UNESCO_UIS Database_Sep2007",1240627,1240627,1240627,1240627,1240627,1294491,1314779
"Saudi Arabia","Male","UNESCO_UIS Database_Sep2007",1336319,1336319,1336319,1336319,1336319,1390217,1417470
"Senegal","Female","UNESCO_UIS Database_Sep2007",92356,97935,103039,115486,125904,149843,172331
"Senegal","Male","UNESCO_UIS Database_Sep2007",145098,151612,157699,173777,184055,210173,233568
"Serbia and Montenegro","Female","UNESCO_UIS Database_Sep2007",400707,387431,375538,375538,375538,375538,375538
"Serbia and Montenegro","Male","UNESCO_UIS Database_Sep2007",413249,397095,385870,385870,385870,385870,385870
"Seychelles","Female","UNESCO_UIS Database_Sep2007",3905,3914,3813,3758,3794,3755,3624
"Seychelles","Male","UNESCO_UIS Database_Sep2007",3883,3828,3701,3767,3757,3651,3896
"Sierra Leone","Female","UNESCO_UIS Database_Sep2007",64711,64711,64711,64711,64711,64711,64711
"Sierra Leone","Male","UNESCO_UIS Database_Sep2007",90856,90856,90856,90856,90856,90856,90856
"Singapore","Female","UNESCO_UIS Database_Sep2007",95658,97360,103063,107019,112574,116306,118357
"Singapore","Male","UNESCO_UIS Database_Sep2007",101435,102849,108394,112359,118411,121909,123607
"Slovakia","Female","UNESCO_UIS Database_Sep2007",333867,331853,326908,327706,328957,331813,325724
"Slovakia","Male","UNESCO_UIS Database_Sep2007",340538,339817,336647,338532,340621,341899,336935
"Slovenia","Female","UNESCO_UIS Database_Sep2007",108828,108326,110850,107982,105854,91578,88277
"Slovenia","Male","UNESCO_UIS Database_Sep2007",111205,109925,113897,112822,111733,96239,93022
"Solomon Islands","Female","UNESCO_UIS Database_Sep2007",6805,5697,7085,9305,9376,9641,9781
"Solomon Islands","Male","UNESCO_UIS Database_Sep2007",9771,7830,9395,12395,12509,12516,12706
"South Africa","Female","UNESCO_UIS Database_Sep2007",2241826,2170709,2218158,2250409,2289237,2367088,2367088
"South Africa","Male","UNESCO_UIS Database_Sep2007",1997371,1971237,2032242,2103408,2157604,2226404,2226404
"Spain","Female","UNESCO_UIS Database_Sep2007",1660717,1629244,1592905,1560263,1526760,1529111,1557536
"Spain","Male","UNESCO_UIS Database_Sep2007",1638752,1616706,1590377,1546514,1525902,1519077,1550280
"Sri Lanka","Female","UNESCO_UIS Database_Sep2007",1188251,1188251,1188251,1188251,1174269,1153301,1153301
"Sri Lanka","Male","UNESCO_UIS Database_Sep2007",1156709,1156709,1156709,1156709,1145824,1179025,1179025
"St Vincent and the Grenadines","Female","UNESCO_UIS Database_Sep2007",5505,5505,5231,5197,5004,5360,5399
"St Vincent and the Grenadines","Male","UNESCO_UIS Database_Sep2007",4174,4174,4525,4723,4620,5038,4381
"Sudan","Female","UNESCO_UIS Database_Sep2007",555445,555445,555445,560121,602084,656880,651156
"Sudan","Male","UNESCO_UIS Database_Sep2007",596109,596109,596109,612611,676549,736898,718579
"Suriname","Female","UNESCO_UIS Database_Sep2007",22231,22231,22231,24180,23091,25553,25553
"Suriname","Male","UNESCO_UIS Database_Sep2007",19643,19643,19643,18073,17909,20265,20265
"Swaziland","Female","UNESCO_UIS Database_Sep2007",30825,30250,31126,31620,31317,33215,33264
"Swaziland","Male","UNESCO_UIS Database_Sep2007",30726,30003,30151,31056,31084,34481,34585
"Sweden","Female","UNESCO_UIS Database_Sep2007",527991,509767,505328,499875,485304,352072,357176
"Sweden","Male","UNESCO_UIS Database_Sep2007",435927,423902,423096,434733,432674,359726,378318
"Switzerland","Female","UNESCO_UIS Database_Sep2007",254777,257991,261388,259863,262486,265884,271859
"Switzerland","Male","UNESCO_UIS Database_Sep2007",289656,291378,292230,290454,293019,297817,302924
"Syria","Female","UNESCO_UIS Database_Sep2007",482386,501241,522126,550613,998726,1062331,1131499
"Syria","Male","UNESCO_UIS Database_Sep2007",547383,567799,602626,631811,1120964,1186785,1257884
"Tajikistan","Female","UNESCO_UIS Database_Sep2007",350854,362822,379732,400578,424811,438721,441428
"Tajikistan","Male","UNESCO_UIS Database_Sep2007",418049,432558,467713,498658,523530,534952,542982
"Tanzania","Female","UNESCO_UIS Database_Sep2007",121536,121536,121536,121536,121536,121536,121536
"Tanzania","Male","UNESCO_UIS Database_Sep2007",149610,149610,149610,149610,149610,149610,149610
"Thailand","Female","UNESCO_UIS Database_Sep2007",1976876,1976876,1976876,2043792,2032604,2165272,2289273
"Thailand","Male","UNESCO_UIS Database_Sep2007",2095232,2095232,2095232,2106392,2095628,2088108,2243900
"Timor Leste","Female","UNESCO_UIS Database_Sep2007",35122,35122,35122,35122,35122,35122,36445
"Timor Leste","Male","UNESCO_UIS Database_Sep2007",37883,37883,37883,37883,37883,37883,38377
"Togo","Female","UNESCO_UIS Database_Sep2007",66383,79631,79631,114235,114235,124692,134331
"Togo","Male","UNESCO_UIS Database_Sep2007",165565,181246,181246,239546,239546,250693,264707
"Tokelau","Female","UNESCO_UIS Database_Sep2007",89,89,113,113,91,79,79
"Tokelau","Male","UNESCO_UIS Database_Sep2007",91,91,89,89,100,96,96
"Tonga","Female","UNESCO_UIS Database_Sep2007",7358,7176,6957,7253,6901,6901,6901
"Tonga","Male","UNESCO_UIS Database_Sep2007",7352,7348,7170,7314,7131,7131,7131
"Trinidad and Tobago","Female","UNESCO_UIS Database_Sep2007",60339,58519,58724,56383,55481,53819,48932
"Trinidad and Tobago","Male","UNESCO_UIS Database_Sep2007",56672,54623,55843,52395,52399,51562,48148
"Tunisia","Female","UNESCO_UIS Database_Sep2007",521603,554873,573688,583049,583752,632802,632802
"Tunisia","Male","UNESCO_UIS Database_Sep2007",537274,549222,569394,586319,564771,606666,606666
"Turkey","Female","UNESCO_UIS Database_Sep2007",2216158,2216158,2216158,2336589,2413856,2240771,2242994
"Turkey","Male","UNESCO_UIS Database_Sep2007",3054898,3054898,3054898,3163657,3328214,3090152,2832726
"Turks and Caicos Islands","Female","UNESCO_UIS Database_Sep2007",569,674,705,703,686,742,806
"Turks and Caicos Islands","Male","UNESCO_UIS Database_Sep2007",545,544,634,708,709,774,880
"Tuvalu","Female","UNESCO_UIS Database_Sep2007",421,421,421,421,421,421,421
"Tuvalu","Male","UNESCO_UIS Database_Sep2007",491,491,491,491,491,491,491
"Uganda","Female","UNESCO_UIS Database_Sep2007",126337,237280,247298,306065,319779,325560,338010
"Uganda","Male","UNESCO_UIS Database_Sep2007",191799,309697,323222,381548,396957,407232,422327
"Ukraine","Female","UNESCO_UIS Database_Sep2007",2594017,2554008,2489403,2437590,2350328,2154687,1891688
"Ukraine","Male","UNESCO_UIS Database_Sep2007",2620089,2650477,2634199,2545357,2473749,2291287,2151139
"United Arab Emirates","Female","UNESCO_UIS Database_Sep2007",100991,105000,109163,112886,135018,137119,139376
"United Arab Emirates","Male","UNESCO_UIS Database_Sep2007",100531,105002,110971,113521,138473,142377,145602
"United Kingdom","Female","UNESCO_UIS Database_Sep2007",2552664,2608431,2633319,2706721,2741211,2813796,2836237
"United Kingdom","Male","UNESCO_UIS Database_Sep2007",2639638,2695709,2733120,2800677,2789386,2885730,2911185
"United States of America","Female","UNESCO_UIS Database_Sep2007",11070268,11070268,11320612,11240229,11622524,11895622,12008749
"United States of America","Male","UNESCO_UIS Database_Sep2007",11523294,11523294,11766430,11956081,12231934,12290164,12423185
"Uruguay","Female","UNESCO_UIS Database_Sep2007",150307,158654,164967,172583,180372,178286,178286
"Uruguay","Male","UNESCO_UIS Database_Sep2007",133531,145229,151001,159592,163245,160771,160771
"Uzbekistan","Female","UNESCO_UIS Database_Sep2007",1993114,1993114,1993114,1993114,2020227,2054530,2054530
"Uzbekistan","Male","UNESCO_UIS Database_Sep2007",2107847,2107847,2107847,2107847,2140676,2180418,2180418
"Vanuatu","Female","UNESCO_UIS Database_Sep2007",4059,5406,5048,5785,5637,6185,6185
"Vanuatu","Male","UNESCO_UIS Database_Sep2007",4930,5040,5886,6528,7163,7652,7652
"Venezuela","Female","UNESCO_UIS Database_Sep2007",778954,826802,889959,955757,980258,1021318,1055909
"Venezuela","Male","UNESCO_UIS Database_Sep2007",660168,716623,787848,855370,885856,932188,972479
"Vietnam","Female","UNESCO_UIS Database_Sep2007",3461360,3727020,3918390,4161139,4394204,4607240,4827551
"Vietnam","Male","UNESCO_UIS Database_Sep2007",3939529,4199106,4399802,4622201,4871597,4981458,5111768
"Yemen","Female","UNESCO_UIS Database_Sep2007",271291,325256,353297,413767,413767,451535,466693
"Yemen","Male","UNESCO_UIS Database_Sep2007",770525,825613,895719,959595,959595,994834,988523
"Zambia","Female","UNESCO_UIS Database_Sep2007",102990,122996,132145,158834,160367,160367,183200
"Zambia","Male","UNESCO_UIS Database_Sep2007",134317,153305,171987,192608,203246,203246,225771
"Zimbabwe","Female","UNESCO_UIS Database_Sep2007",391813,395202,407223,388783,360311,360311,360311
"Zimbabwe","Male","UNESCO_UIS Database_Sep2007",443067,448981,458948,439673,397918,397918,397918
